user_id,product_id,category,old_name,price,base_price,amount,status,region,priority
U001,P101,Electronics,Item_1,178.18,151,534.54,Completed,South,High
U002,P102,Electronics,Item_2,1752.3,1485,8761.5,Completed,West,High
U003,P103,Electronics,Item_3,343.38,291,686.76,Completed,North,Low
U004,P104,Clothing,Item_4,1847.88,1566,9239.4,Pending,South,Medium
U005,P105,Sports,Item_5,789.42,669,789.42,Completed,West,Medium
U006,P106,Grocery,Item_6,493.24,418,986.48,Pending,North,High
U007,P107,Furniture,Item_7,351.64,298,1054.92,Pending,East,High
U008,P108,Furniture,Item_8,1413.64,1198,1413.64,Pending,North,Low
U009,P109,Grocery,Item_9,2121.64,1798,10608.2,Pending,South,Low
U011,P111,Electronics,Item_11,1036.04,878,3108.12,Pending,East,High
U012,P112,Grocery,Item_12,975.86,827,1951.72,Cancelled,East,Low
U013,P113,Electronics,Item_13,1589.46,1347,3178.92,Cancelled,South,High
U014,P114,Furniture,Item_14,1034.86,877,3104.58,Cancelled,South,Low
U015,P115,Grocery,Item_15,2154.68,1826,2154.68,Completed,North,Medium
U016,P116,Furniture,Item_16,764.64,648,764.64,Completed,East,High
U017,P117,Furniture,Item_17,1073.8,910,4295.2,Completed,East,High
U018,P118,Clothing,Item_18,1917.5,1625,9587.5,Cancelled,East,Low
U019,P119,Sports,Item_19,1152.86,977,5764.3,Pending,East,High
U020,P120,Clothing,Item_20,1348.74,1143,5394.96,Completed,North,High
U021,P121,Clothing,Item_21,1634.3,1385,3268.6,Cancelled,West,Low
U022,P122,Electronics,Item_22,1047.84,888,4191.36,Cancelled,West,Low
U023,P123,Grocery,Item_23,1454.94,1233,1454.94,Cancelled,North,Low
U024,P124,Sports,Item_24,1931.66,1637,5794.98,Cancelled,East,High
U026,P126,Grocery,Item_26,1327.5,1125,2655.0,Cancelled,North,Low
U027,P127,Grocery,Item_27,2151.14,1823,10755.7,Cancelled,South,High
U028,P128,Grocery,Item_28,1959.98,1661,3919.96,Cancelled,North,Low
U029,P129,Grocery,Item_29,1298.0,1100,1298.0,Completed,East,Medium
U030,P130,Clothing,Item_30,257.24,218,514.48,Cancelled,North,High
U031,P131,Furniture,Item_31,2089.78,1771,2089.78,Cancelled,South,High
U032,P132,Furniture,Item_32,1445.5,1225,2891.0,Pending,West,High
U033,P133,Sports,Item_33,1942.28,1646,3884.56,Cancelled,East,Medium
U034,P134,Grocery,Item_34,1176.46,997,5882.3,Pending,North,High
U035,P135,Clothing,Item_35,272.58,231,817.74,Completed,South,Low
U036,P136,Clothing,Item_36,134.52,114,134.52,Cancelled,North,High
U037,P137,Electronics,Item_37,2305.72,1954,2305.72,Pending,North,Low
U038,P138,Clothing,Item_38,790.6,670,3162.4,Completed,South,Low
U039,P139,Sports,Item_39,1510.4,1280,6041.6,Completed,West,Medium
U041,P141,Furniture,Item_41,1110.38,941,4441.52,Cancelled,North,Low
U042,P142,Electronics,Item_42,264.32,224,1057.28,Cancelled,East,High
U043,P143,Clothing,Item_43,580.56,492,1161.12,Cancelled,West,High
U044,P144,Furniture,Item_44,560.5,475,1681.5,Pending,South,High
U045,P145,Furniture,Item_45,2069.72,1754,10348.6,Completed,North,Low
U046,P146,Sports,Item_46,2138.16,1812,2138.16,Completed,South,High
U047,P147,Furniture,Item_47,1290.92,1094,5163.68,Completed,West,High
U048,P148,Clothing,Item_48,1033.68,876,1033.68,Pending,East,Medium
U049,P149,Grocery,Item_49,1139.88,966,5699.4,Cancelled,West,High
U050,P150,Clothing,Item_50,834.26,707,1668.52,Completed,North,Low
