item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM-000197,ORD-999802,PROD-0233,4,407.56,15.0
ITEM-000204,ORD-999364,PROD-0102,4,667.03,10.0
ITEM-000218,ORD-999752,PROD-0384,1,54.35,5.0
ITEM-000243,ORD-999340,PROD-0193,4,670.25,0.0
ITEM-000289,ORD-999681,PROD-0325,4,292.51,15.0
ITEM-000340,ORD-999676,PROD-0202,4,572.69,0.0
ITEM-000347,ORD-999176,PROD-0125,4,359.44,15.0
ITEM-000424,ORD-999827,PROD-0499,5,92.88,10.0
ITEM-000459,ORD-999705,PROD-0100,1,368.44,0.0
ITEM-000475,ORD-999436,PROD-0215,3,206.09,0.0
ITEM-000532,ORD-999320,PROD-0339,3,64.34,10.0
ITEM-000561,ORD-999951,PROD-0200,5,192.37,0.0
ITEM-000571,ORD-999429,PROD-0288,3,527.36,5.0
ITEM-000584,ORD-999346,PROD-0338,3,619.55,20.0
ITEM-000590,ORD-999806,PROD-0006,4,452.59,5.0
ITEM-000591,ORD-999384,PROD-0432,4,549.1,20.0
ITEM-000644,ORD-999880,PROD-0477,5,360.84,10.0
ITEM-000712,ORD-999989,PROD-0461,2,296.01,0.0
ITEM-000899,ORD-999975,PROD-0486,-2,209.83,5.0
ITEM-000997,ORD-999269,PROD-0006,5,560.53,0.0
ITEM-001178,ORD-999976,PROD-0315,2,705.97,10.0
ITEM-001242,ORD-999158,PROD-0404,1,57.11,10.0
ITEM-001261,ORD-999890,PROD-0320,5,241.22,20.0
ITEM-001365,ORD-999515,PROD-0303,2,62.5,10.0
ITEM-001544,ORD-999341,PROD-0284,2,137.4,0.0
ITEM-001802,ORD-999627,PROD-0036,4,138.78,5.0
ITEM-001814,ORD-999162,PROD-0157,4,376.64,0.0
ITEM-001880,ORD-999950,PROD-0001,1,168.85,0.0
ITEM-001894,ORD-999935,PROD-0337,4,304.61,0.0
ITEM-001924,ORD-999821,PROD-0026,5,187.94,5.0
