product_id,product_name,category,subcategory,cost_price
PROD-0001,Sweaters Model-854,Clothing,Sweaters,103.83
PROD-0002,Sneakers Model-311,Clothing,Sneakers,118.46
PROD-0003,Dresses Model-259,Clothing,Dresses,390.57
PROD-0004,Smartphones Model-792,Electronics,Smartphones,478.11
PROD-0005,Biography Model-106,Books,Biography,383.3
PROD-0006,Smartwatches Model-480,Electronics,Smartwatches,312.23
PROD-0007,Biography Model-989,Books,Biography,140.99
PROD-0008,Sneakers Model-507,Clothing,Sneakers,114.94
PROD-0009,T-Shirts Model-638,Clothing,T-Shirts,400.64
PROD-0010,Biography Model-133,Books,Biography,253.73
PROD-0011,Science Journal Model-894,Books,Science Journal,91.53
PROD-0012,Smartwatches Model-423,Electronics,Smartwatches,346.16
PROD-0013,Monitors Model-488,Electronics,Monitors,292.6
PROD-0014,Vacuum Cleaner Model-727,Home,Vacuum Cleaner,431.61
PROD-0015,Sneakers Model-342,Clothing,Sneakers,138.36
PROD-0016,Vacuum Cleaner Model-288,Home,Vacuum Cleaner,251.89
PROD-0017,Socks Model-817,Clothing,Socks,377.34
PROD-0018,Cookware Set Model-510,Home,Cookware Set,143.42
PROD-0019,Jackets Model-689,Clothing,Jackets,344.58
PROD-0020,Keyboards Model-923,Electronics,Keyboards,121.72
PROD-0021,History Anthology Model-300,Books,History Anthology,77.19
PROD-0022,Sweaters Model-925,Clothing,Sweaters,9.82
PROD-0023,History Anthology Model-237,Books,History Anthology,497.8
PROD-0024,Cookware Set Model-598,Home,Cookware Set,153.52
PROD-0025,Tablets Model-201,Electronics,Tablets,346.82
PROD-0026,Monitors Model-933,Electronics,Monitors,130.87
PROD-0027,Smartwatches Model-862,Electronics,Smartwatches,170.65
PROD-0028,Vacuum Cleaner Model-673,Home,Vacuum Cleaner,280.96
PROD-0029,Vacuum Cleaner Model-120,Home,Vacuum Cleaner,208.82
PROD-0030,Cookware Set Model-795,Home,Cookware Set,481.74
PROD-0031,Jackets Model-899,Clothing,Jackets,145.88
PROD-0032,Bed Sheets Model-622,Home,Bed Sheets,246.31
PROD-0033,Fiction Novel Model-490,Books,Fiction Novel,308.76
PROD-0034,Science Journal Model-248,Books,Science Journal,434.79
PROD-0035,Desk Lamp Model-746,Home,Desk Lamp,308.09
PROD-0036,Fiction Novel Model-181,Books,Fiction Novel,85.19
PROD-0037,Dresses Model-424,Clothing,Dresses,328.24
PROD-0038,Air Purifier Model-760,Home,Air Purifier,200.75
PROD-0039,Cookbook Model-865,Books,Cookbook,295.53
PROD-0040,History Anthology Model-271,Books,History Anthology,96.02
PROD-0041,Laptops Model-845,Electronics,Laptops,121.14
PROD-0042,Bed Sheets Model-817,Home,Bed Sheets,376.12
PROD-0043,Jackets Model-506,Clothing,Jackets,55.99
PROD-0044,Smartwatches Model-661,Electronics,Smartwatches,31.64
PROD-0045,Biography Model-883,Books,Biography,498.03
PROD-0046,Keyboards Model-732,Electronics,Keyboards,81.86
PROD-0047,Cookbook Model-334,Books,Cookbook,127.46
PROD-0048,Desk Lamp Model-741,Home,Desk Lamp,67.57
PROD-0049,T-Shirts Model-135,Clothing,T-Shirts,333.46
PROD-0050,Cookware Set Model-587,Home,Cookware Set,236.26
PROD-0051,Air Purifier Model-555,Home,Air Purifier,71.88
PROD-0052,Sweaters Model-746,Clothing,Sweaters,375.71
PROD-0053,Biography Model-755,Books,Biography,321.57
PROD-0054,Vacuum Cleaner Model-593,Home,Vacuum Cleaner,272.14
PROD-0055,Smartwatches Model-415,Electronics,Smartwatches,186.06
PROD-0056,Blender Model-410,Home,Blender,10.23
PROD-0057,Dresses Model-393,Clothing,Dresses,237.25
PROD-0058,Smartwatches Model-873,Electronics,Smartwatches,241.15
PROD-0059,Tablets Model-917,Electronics,Tablets,150.0
PROD-0060,T-Shirts Model-661,Clothing,T-Shirts,189.95
PROD-0061,Biography Model-547,Books,Biography,200.4
PROD-0062,Socks Model-948,Clothing,Socks,192.29
PROD-0063,Coffee Maker Model-532,Home,Coffee Maker,314.53
PROD-0064,Vacuum Cleaner Model-764,Home,Vacuum Cleaner,372.75
PROD-0065,Desk Lamp Model-292,Home,Desk Lamp,427.47
PROD-0066,Jackets Model-396,Clothing,Jackets,59.63
PROD-0067,Biography Model-563,Books,Biography,139.71
PROD-0068,Tech Guide Model-428,Books,Tech Guide,14.6
