item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM-000001,ORD-000566,PROD-0430,1,314.53,0.0
ITEM-000002,ORD-000613,PROD-0463,5,86.51,10.0
ITEM-000003,ORD-000819,PROD-0100,1,328.8,20.0
ITEM-000004,ORD-000379,PROD-0105,4,422.3,10.0
ITEM-000005,ORD-000750,PROD-0228,4,338.4,20.0
ITEM-000006,ORD-000303,PROD-0471,1,478.06,15.0
ITEM-000007,ORD-000456,PROD-0456,1,349.34,0.0
ITEM-000008,ORD-000886,PROD-0071,1,142.93,15.0
ITEM-000009,ORD-000992,PROD-0182,2,326.66,15.0
ITEM-000010,ORD-000745,PROD-0039,3,412.64,10.0
ITEM-000011,ORD-000283,PROD-0233,1,532.99,10.0
ITEM-000012,ORD-000724,PROD-0353,4,127.53,0.0
ITEM-000013,ORD-000103,PROD-0478,3,291.49,10.0
ITEM-000014,ORD-000195,PROD-0431,1,144.43,20.0
ITEM-000015,ORD-000972,PROD-0325,2,333.45,0.0
ITEM-000016,ORD-000601,PROD-0193,-3,659.0,0.0
ITEM-000017,ORD-000201,PROD-0136,2,276.72,5.0
ITEM-000018,ORD-000752,PROD-0255,1,627.94,0.0
ITEM-000019,ORD-000974,PROD-0265,2,82.22,15.0
ITEM-000020,ORD-000004,PROD-0223,5,117.14,10.0
ITEM-000021,ORD-000214,PROD-0364,3,606.36,5.0
ITEM-000022,ORD-000629,PROD-0195,3,28.27,0.0
ITEM-000023,ORD-000496,PROD-0272,3,695.92,0.0
ITEM-000024,ORD-000861,PROD-0119,4,457.94,15.0
ITEM-000025,ORD-000502,PROD-0408,3,518.63,10.0
ITEM-000026,ORD-000557,PROD-0247,1,550.05,0.0
ITEM-000027,ORD-000987,PROD-0452,3,104.29,20.0
ITEM-000028,ORD-000430,PROD-0497,4,396.41,0.0
ITEM-000029,ORD-000119,PROD-0091,1,479.23,0.0
ITEM-000030,ORD-000356,PROD-0357,4,320.71,0.0
ITEM-000031,ORD-000861,PROD-0413,4,51.09,10.0
ITEM-000032,ORD-000704,PROD-0121,5,467.85,0.0
ITEM-000033,ORD-000221,PROD-0456,1,409.48,5.0
ITEM-000034,ORD-000576,PROD-0396,3,215.92,15.0
ITEM-000035,ORD-000422,PROD-0201,4,156.15,5.0
ITEM-000036,ORD-000267,PROD-0468,2,538.01,5.0
ITEM-000037,ORD-000348,PROD-0326,4,113.56,0.0
ITEM-000038,ORD-000420,PROD-0114,5,724.57,0.0
ITEM-000039,ORD-000212,PROD-0400,5,156.81,10.0
ITEM-000040,ORD-000338,PROD-0067,1,218.36,0.0
ITEM-000041,ORD-000822,PROD-0195,3,22.46,15.0
ITEM-000042,ORD-000935,PROD-0181,1,745.55,10.0
ITEM-000043,ORD-000671,PROD-0026,5,197.77,0.0
ITEM-000044,ORD-000204,PROD-0081,2,582.92,5.0
ITEM-000045,ORD-000298,PROD-0411,3,18.73,0.0
ITEM-000046,ORD-000424,PROD-0111,1,175.02,0.0
ITEM-000047,ORD-000037,PROD-0433,1,8.8,10.0
ITEM-000048,ORD-000514,PROD-0204,2,267.77,0.0
ITEM-000049,ORD-000290,PROD-0155,2,49.14,15.0
ITEM-000050,ORD-000035,PROD-0140,4,478.88,20.0
ITEM-000051,ORD-000672,PROD-0206,3,346.85,15.0
ITEM-000052,ORD-000883,PROD-0044,4,39.42,10.0
ITEM-000053,ORD-000021,PROD-0008,5,189.14,10.0
ITEM-000054,ORD-000942,PROD-0078,4,486.29,10.0
ITEM-000055,ORD-000199,PROD-0426,3,688.56,0.0
ITEM-000056,ORD-000436,PROD-0263,3,493.2,0.0
ITEM-000057,ORD-000470,PROD-0104,5,333.11,15.0
ITEM-000058,ORD-000483,PROD-0193,2,525.72,0.0
ITEM-000059,ORD-000991,PROD-0209,3,225.16,5.0
ITEM-000060,ORD-000930,PROD-0360,4,356.71,0.0
ITEM-000061,ORD-000018,PROD-0255,5,750.35,0.0
ITEM-000062,ORD-000732,PROD-0056,1,15.05,10.0
ITEM-000063,ORD-000407,PROD-0395,4,361.58,0.0
