order_id,customer_id,order_date,status,region_code
ORD-000001,CUST-00326,2024-06-07 01:58:00,DELIVERED,APAC-EAST
ORD-000002,CUST-00152,2024-03-13 11:24:00,DELIVERED,EU-CENTRAL
ORD-000003,CUST-00354,2023-12-26 09:28:00,CANCELLED,US-EAST
ORD-000004,CUST-00221,2024-03-30 23:26:00,DELIVERED,EU-CENTRAL
ORD-000005,,2023-06-17 23:57:00,DELIVERED,APAC-EAST
ORD-000006,CUST-00143,2023-03-30 04:13:00,DELIVERED,LATAM-SOUTH
ORD-000007,CUST-00344,2023-03-09 18:48:00,DELIVERED,US-EAST
ORD-000008,CUST-00420,2023-10-07 13:11:00,DELIVERED,LATAM-SOUTH
ORD-000009,CUST-00774,2023-05-21 06:11:00,DELIVERED,EU-CENTRAL
ORD-000010,CUST-00568,2024-05-17 01:52:00,DELIVERED,LATAM-SOUTH
ORD-000011,CUST-00312,2024-05-20 17:47:00,DELIVERED,US-EAST
ORD-000012,CUST-00811,2023-01-03 04:16:00,DELIVERED,APAC-EAST
ORD-000013,CUST-00128,2023-10-22 13:11:00,DELIVERED,US-WEST
ORD-000014,CUST-00030,2023-05-03 08:31:00,RETURNED,US-EAST
ORD-000015,CUST-00614,2024-01-06 18:30:00,DELIVERED,EU-CENTRAL
ORD-000016,CUST-00644,2024-05-02 22:52:00,PLACED,LATAM-SOUTH
ORD-000017,CUST-00751,2023-01-18 08:10:00,DELIVERED,US-WEST
ORD-000018,CUST-00328,2024-04-17 22:08:00,DELIVERED,US-EAST
ORD-000019,CUST-00280,2024-01-05 13:40:00,CANCELLED,EU-CENTRAL
ORD-000020,CUST-00050,2023-10-24 09:33:00,DELIVERED,US-EAST
ORD-000021,CUST-00527,2023-07-18 20:11:00,DELIVERED,LATAM-SOUTH
ORD-000022,CUST-00771,2023-06-21 17:20:00,CANCELLED,EU-CENTRAL
ORD-000023,CUST-00278,2024-01-07 03:34:00,DELIVERED,US-WEST
ORD-000024,CUST-00014,21-05-2023,DELIVERED,APAC-EAST
ORD-000025,CUST-00422,2023-12-15 05:06:00,SHIPPED,LATAM-SOUTH
ORD-000026,,15-08-2023,CANCELLED,LATAM-SOUTH
ORD-000027,CUST-00707,2024-06-22 17:45:00,DELIVERED,US-EAST
ORD-000028,CUST-00428,2024-04-16 02:07:00,DELIVERED,US-EAST
ORD-000029,CUST-00492,2023-12-23 09:44:00,DELIVERED,APAC-EAST
ORD-000030,CUST-00912,2024-06-19 10:11:00,DELIVERED,US-EAST
ORD-000031,CUST-00763,2023-05-02 07:08:00,CANCELLED,US-WEST
ORD-000032,CUST-00705,2023-08-21 09:08:00,SHIPPED,US-EAST
ORD-000033,CUST-00436,2023-04-25 02:01:00,DELIVERED,APAC-EAST
ORD-000034,CUST-00044,2023-07-21 03:02:00,DELIVERED,LATAM-SOUTH
ORD-000035,CUST-00608,2023-03-02 15:07:00,CANCELLED,US-EAST
ORD-000036,,2023-03-09 09:42:00,PLACED,US-EAST
ORD-000037,CUST-00802,2023-05-07 19:13:00,DELIVERED,US-WEST
ORD-000038,CUST-00190,2023-12-26 00:05:00,PLACED,EU-CENTRAL
ORD-000039,CUST-00972,2023-12-23 11:10:00,CANCELLED,LATAM-SOUTH
ORD-000040,CUST-00248,2024-06-01 18:04:00,PLACED,LATAM-SOUTH
ORD-000041,CUST-00782,2023-01-15 16:13:00,DELIVERED,EU-CENTRAL
ORD-000042,CUST-00176,04-07-2024,PLACED,US-WEST
ORD-000043,CUST-00943,2024-05-31 22:30:00,DELIVERED,LATAM-SOUTH
ORD-000044,CUST-00190,2024-03-26 21:06:00,SHIPPED,EU-CENTRAL
ORD-000045,CUST-00389,2024-03-10 06:32:00,SHIPPED,US-EAST
ORD-000046,CUST-00780,2023-11-18 03:29:00,PLACED,US-WEST
ORD-000047,CUST-00508,2024-01-05 22:18:00,DELIVERED,US-EAST
ORD-000048,CUST-00085,2023-12-02 15:07:00,DELIVERED,APAC-EAST
ORD-000049,CUST-00615,2023-11-16 21:53:00,DELIVERED,LATAM-SOUTH
ORD-000050,CUST-00418,2023-10-25 13:12:00,CANCELLED,APAC-EAST
ORD-000051,CUST-00962,2024-01-12 05:00:00,RETURNED,APAC-EAST
ORD-000052,CUST-00689,2023-04-18 12:28:00,DELIVERED,US-EAST
ORD-000053,CUST-00123,2023-05-27 12:25:00,DELIVERED,US-EAST
ORD-000054,CUST-00760,2023-06-22 02:23:00,RETURNED,EU-CENTRAL
ORD-000055,CUST-00206,2024-02-18 03:14:00,DELIVERED,APAC-EAST
ORD-000056,CUST-00286,2023-10-07 20:25:00,DELIVERED,LATAM-SOUTH
ORD-000057,CUST-00973,19-02-2024,SHIPPED,APAC-EAST
ORD-000058,CUST-00111,2023-05-06 08:31:00,DELIVERED,US-WEST
ORD-000059,CUST-00031,2023-04-12 23:03:00,DELIVERED,APAC-EAST
ORD-000060,CUST-00695,2023-01-28 05:24:00,DELIVERED,EU-CENTRAL
ORD-000061,CUST-00157,2023-11-07 19:39:00,PLACED,US-EAST
ORD-000062,CUST-00677,2024-06-16 15:50:00,DELIVERED,EU-CENTRAL
ORD-000063,CUST-00678,2024-05-24 15:32:00,SHIPPED,EU-CENTRAL
ORD-000064,CUST-00829,2023-01-19 01:27:00,CANCELLED,US-EAST
ORD-000065,CUST-00393,2024-04-05 10:54:00,DELIVERED,APAC-EAST
ORD-000066,CUST-00037,2023-02-03 05:35:00,DELIVERED,EU-CENTRAL
ORD-000067,CUST-00906,2023-06-18 15:27:00,PLACED,APAC-EAST
ORD-000068,CUST-00500,2023-04-23 18:43:00,DELIVERED,LATAM-SOUTH
ORD-000069,CUST-00702,2024-04-26 15:35:00,CANCELLED,LATAM-SOUTH
ORD-000070,CUST-00058,2024-02-05 08:31:00,DELIVERED,APAC-EAST
ORD-000071,CUST-00632,2023-12-28 09:20:00,PLACED,LATAM-SOUTH
ORD-000072,CUST-00047,2023-05-12 11:22:00,DELIVERED,LATAM-SOUTH
ORD-000073,CUST-00028,2023-12-16 12:06:00,DELIVERED,EU-CENTRAL
ORD-000074,CUST-00422,2023-12-26 01:42:00,SHIPPED,US-WEST
ORD-000075,CUST-00664,2023-11-16 18:05:00,CANCELLED,US-EAST
ORD-000076,CUST-00890,2023-11-09 03:21:00,SHIPPED,LATAM-SOUTH
ORD-000077,CUST-00334,2023-02-08 14:42:00,CANCELLED,LATAM-SOUTH
ORD-000078,CUST-00528,2024-03-07 08:01:00,DELIVERED,LATAM-SOUTH
ORD-000079,CUST-00023,2023-11-21 12:36:00,DELIVERED,LATAM-SOUTH
ORD-000080,CUST-00101,2024-05-15 03:44:00,DELIVERED,EU-CENTRAL
ORD-000081,CUST-00509,2024-05-29 21:21:00,SHIPPED,EU-CENTRAL
ORD-000082,CUST-00373,2024-03-22 06:31:00,DELIVERED,US-EAST
ORD-000083,CUST-00861,2024-07-02 06:18:00,SHIPPED,EU-CENTRAL
ORD-000084,CUST-00588,2024-02-16 07:39:00,DELIVERED,US-EAST
ORD-000085,CUST-00735,2023-04-08 18:21:00,SHIPPED,LATAM-SOUTH
ORD-000086,CUST-00821,27-06-2024,SHIPPED,US-EAST
ORD-000087,CUST-00668,2023-11-06 16:51:00,SHIPPED,LATAM-SOUTH
ORD-000088,CUST-00321,2023-07-24 13:25:00,SHIPPED,LATAM-SOUTH
ORD-000089,CUST-00465,2023-07-04 00:40:00,DELIVERED,US-WEST
ORD-000090,CUST-00591,26-05-2024,RETURNED,APAC-EAST
ORD-000091,CUST-00275,2024-06-29 19:54:00,DELIVERED,APAC-EAST
ORD-000092,CUST-00958,2023-03-03 16:12:00,DELIVERED,US-WEST
ORD-000093,CUST-00247,2023-06-04 23:43:00,DELIVERED,APAC-EAST
ORD-000094,CUST-00421,2023-11-23 02:40:00,SHIPPED,APAC-EAST
ORD-000095,CUST-00274,21-10-2023,SHIPPED,LATAM-SOUTH
ORD-000096,CUST-00242,2024-02-20 07:07:00,PLACED,US-EAST
ORD-000097,CUST-00252,2023-11-14 14:31:00,DELIVERED,APAC-EAST
ORD-000098,CUST-00433,2023-02-07 06:10:00,SHIPPED,US-EAST
ORD-000099,CUST-00265,2023-10-12 21:35:00,SHIPPED,US-EAST
ORD-000100,CUST-00987,2024-05-12 00:03:00,CANCELLED,US-EAST
ORD-000101,CUST-00322,2023-11-02 02:57:00,RETURNED,EU-CENTRAL
ORD-000102,CUST-00688,2023-04-03 12:53:00,DELIVERED,US-WEST
ORD-000103,CUST-00242,2023-04-25 18:47:00,DELIVERED,US-EAST
ORD-000104,CUST-00535,2024-06-21 08:31:00,CANCELLED,US-WEST
ORD-000105,CUST-00615,2023-05-06 10:21:00,DELIVERED,APAC-EAST
ORD-000106,CUST-00826,2023-08-30 13:13:00,PLACED,US-WEST
ORD-000107,CUST-00220,2023-10-09 14:26:00,SHIPPED,LATAM-SOUTH
ORD-000108,CUST-00058,2024-05-17 17:23:00,DELIVERED,US-EAST
ORD-000109,CUST-00325,2024-03-09 15:43:00,SHIPPED,EU-CENTRAL
ORD-000110,CUST-00901,2023-05-29 11:30:00,DELIVERED,EU-CENTRAL
ORD-000111,CUST-00022,2023-02-05 23:42:00,DELIVERED,US-EAST
ORD-000112,CUST-00708,2023-09-03 08:35:00,DELIVERED,EU-CENTRAL
ORD-000113,CUST-00925,2023-05-05 17:55:00,SHIPPED,APAC-EAST
ORD-000114,CUST-00398,2023-01-09 12:59:00,RETURNED,EU-CENTRAL
ORD-000115,CUST-00309,2023-04-03 07:19:00,SHIPPED,US-WEST
ORD-000116,CUST-00938,25-03-2024,CANCELLED,APAC-EAST
ORD-000117,CUST-00809,2023-02-04 08:55:00,PLACED,APAC-EAST
ORD-000118,CUST-00483,2024-02-27 10:45:00,DELIVERED,US-EAST
ORD-000119,CUST-00845,2023-06-14 22:16:00,DELIVERED,EU-CENTRAL
ORD-000120,CUST-00431,01-12-2023,PLACED,US-EAST
ORD-000121,CUST-00657,2023-07-08 20:28:00,DELIVERED,US-WEST
ORD-000122,CUST-00004,2024-02-15 06:40:00,DELIVERED,LATAM-SOUTH
ORD-000123,CUST-00085,2023-04-24 05:15:00,DELIVERED,US-WEST
ORD-000124,CUST-00868,2024-02-25 10:28:00,DELIVERED,US-WEST
ORD-000125,,2023-09-24 05:43:00,DELIVERED,EU-CENTRAL
ORD-000126,CUST-00819,2023-10-16 06:05:00,DELIVERED,US-WEST
ORD-000127,CUST-00403,2024-01-22 18:14:00,PLACED,US-EAST
ORD-000128,CUST-00946,2023-08-23 02:29:00,SHIPPED,US-WEST
ORD-000129,CUST-00051,2024-02-15 19:27:00,DELIVERED,US-WEST
ORD-000130,CUST-00092,2024-01-12 05:36:00,PLACED,LATAM-SOUTH
ORD-000131,CUST-00446,2024-04-09 21:31:00,PLACED,US-WEST
ORD-000132,CUST-00196,2023-09-30 09:47:00,DELIVERED,US-WEST
ORD-000133,CUST-00442,2023-07-31 19:13:00,RETURNED,EU-CENTRAL
ORD-000134,CUST-00745,2023-07-13 13:11:00,DELIVERED,US-WEST
ORD-000135,CUST-00030,2023-10-25 08:15:00,DELIVERED,US-WEST
ORD-000136,CUST-00379,2024-04-14 02:00:00,DELIVERED,EU-CENTRAL
ORD-000137,CUST-00998,2024-02-12 21:13:00,DELIVERED,APAC-EAST
ORD-000138,CUST-00754,2023-09-20 02:06:00,DELIVERED,US-EAST
ORD-000139,CUST-00341,2023-08-29 15:58:00,DELIVERED,LATAM-SOUTH
ORD-000140,CUST-00962,2023-02-16 00:16:00,DELIVERED,APAC-EAST
ORD-000141,CUST-00310,2024-02-09 21:23:00,PLACED,LATAM-SOUTH
ORD-000142,CUST-00043,2023-07-03 08:10:00,DELIVERED,EU-CENTRAL
ORD-000143,CUST-00899,24-04-2024,DELIVERED,LATAM-SOUTH
ORD-000144,CUST-00444,2023-05-26 08:07:00,DELIVERED,US-WEST
ORD-000145,CUST-00512,2023-10-15 23:23:00,CANCELLED,EU-CENTRAL
ORD-000146,CUST-00925,2023-09-27 19:53:00,DELIVERED,EU-CENTRAL
ORD-000147,CUST-00530,2023-11-17 13:57:00,SHIPPED,APAC-EAST
ORD-000148,CUST-00783,2023-06-04 17:54:00,CANCELLED,APAC-EAST
ORD-000149,,2023-02-24 06:09:00,PLACED,US-WEST
ORD-000150,CUST-00037,2024-04-26 08:10:00,DELIVERED,APAC-EAST
ORD-000151,,2023-04-29 15:02:00,DELIVERED,LATAM-SOUTH
ORD-000152,,2024-05-11 14:31:00,PLACED,US-WEST
ORD-000153,CUST-00127,2023-12-24 02:13:00,CANCELLED,US-WEST
ORD-000154,CUST-00855,2023-06-22 23:32:00,DELIVERED,LATAM-SOUTH
ORD-000155,CUST-00913,2023-08-06 18:00:00,DELIVERED,LATAM-SOUTH
ORD-000156,CUST-00185,2024-03-02 02:15:00,DELIVERED,US-EAST
ORD-000157,CUST-00909,2023-12-03 00:18:00,DELIVERED,US-EAST
ORD-000158,CUST-00404,2024-01-18 18:59:00,RETURNED,EU-CENTRAL
ORD-000159,CUST-00158,2023-01-30 02:29:00,DELIVERED,APAC-EAST
ORD-000160,,2024-04-09 20:17:00,DELIVERED,US-EAST
ORD-000161,CUST-00338,2023-02-14 20:39:00,RETURNED,EU-CENTRAL
ORD-000162,CUST-00971,2023-05-13 06:55:00,PLACED,EU-CENTRAL
ORD-000163,CUST-00331,2023-02-26 23:04:00,DELIVERED,LATAM-SOUTH
ORD-000164,CUST-00391,2023-04-05 12:16:00,SHIPPED,APAC-EAST
ORD-000165,CUST-00092,2023-01-22 06:10:00,DELIVERED,APAC-EAST
ORD-000166,CUST-00292,2023-06-07 03:19:00,DELIVERED,APAC-EAST
ORD-000167,,2023-11-14 21:38:00,PLACED,US-EAST
ORD-000168,CUST-00853,2024-01-12 16:12:00,DELIVERED,APAC-EAST
ORD-000169,CUST-00488,2023-10-02 18:38:00,DELIVERED,APAC-EAST
ORD-000170,CUST-00831,2024-01-13 19:11:00,DELIVERED,APAC-EAST
ORD-000171,CUST-00096,2023-02-11 16:21:00,RETURNED,US-WEST
ORD-000172,CUST-00664,2023-06-08 15:33:00,DELIVERED,LATAM-SOUTH
ORD-000173,CUST-00086,2023-10-25 14:27:00,PLACED,APAC-EAST
ORD-000174,CUST-00308,2023-06-02 04:43:00,CANCELLED,US-WEST
ORD-000175,CUST-00536,2024-03-13 09:36:00,PLACED,US-EAST
ORD-000176,CUST-00940,2023-02-16 16:06:00,DELIVERED,APAC-EAST
ORD-000177,CUST-00097,2024-04-20 21:46:00,DELIVERED,EU-CENTRAL
ORD-000178,CUST-00364,2023-09-18 18:05:00,DELIVERED,US-EAST
ORD-000179,CUST-00117,2024-04-18 05:50:00,SHIPPED,APAC-EAST
ORD-000180,CUST-00047,2023-03-27 13:56:00,DELIVERED,EU-CENTRAL
ORD-000181,CUST-00602,2024-04-10 21:28:00,DELIVERED,EU-CENTRAL
ORD-000182,CUST-00350,2023-07-11 06:11:00,PLACED,LATAM-SOUTH
ORD-000183,CUST-00266,2023-04-19 13:34:00,PLACED,APAC-EAST
ORD-000184,CUST-00120,2023-01-14 05:41:00,DELIVERED,APAC-EAST
ORD-000185,CUST-00890,2024-05-13 09:39:00,DELIVERED,LATAM-SOUTH
ORD-000186,CUST-00370,2024-02-09 09:05:00,PLACED,US-EAST
ORD-000187,CUST-00196,2023-04-25 00:44:00,RETURNED,US-EAST
ORD-000188,CUST-00215,2024-05-07 20:09:00,DELIVERED,APAC-EAST
ORD-000189,,2023-07-15 02:19:00,DELIVERED,US-WEST
ORD-000190,CUST-00486,2024-03-08 00:07:00,SHIPPED,US-WEST
ORD-000191,CUST-00757,2024-03-31 15:30:00,PLACED,APAC-EAST
ORD-000192,CUST-00600,2023-09-06 06:18:00,DELIVERED,APAC-EAST
ORD-000193,CUST-00053,2023-12-08 00:06:00,DELIVERED,APAC-EAST
ORD-000194,CUST-00426,2024-05-22 23:37:00,DELIVERED,LATAM-SOUTH
ORD-000195,CUST-00298,2023-02-07 15:25:00,DELIVERED,LATAM-SOUTH
ORD-000196,CUST-00743,2024-05-14 07:45:00,PLACED,US-EAST
ORD-000197,CUST-00433,2023-11-20 17:04:00,SHIPPED,APAC-EAST
ORD-000198,CUST-00911,2024-04-29 03:31:00,DELIVERED,EU-CENTRAL
ORD-000199,CUST-00460,2024-03-22 00:10:00,SHIPPED,US-WEST
ORD-000200,CUST-00481,19-12-2023,DELIVERED,LATAM-SOUTH
ORD-000201,CUST-00931,14-12-2023,DELIVERED,APAC-EAST
ORD-000202,CUST-00135,2023-10-28 23:45:00,DELIVERED,APAC-EAST
ORD-000203,CUST-00854,2024-01-04 15:51:00,RETURNED,US-WEST
ORD-000204,CUST-00637,2023-08-01 09:44:00,DELIVERED,APAC-EAST
ORD-000205,CUST-00133,2023-06-27 06:10:00,DELIVERED,US-EAST
ORD-000206,CUST-00813,2024-03-01 15:19:00,SHIPPED,LATAM-SOUTH
ORD-000207,CUST-00049,2023-01-19 11:56:00,SHIPPED,US-WEST
ORD-000208,CUST-00179,2024-05-30 01:51:00,PLACED,APAC-EAST
ORD-000209,CUST-00117,2023-08-21 03:35:00,SHIPPED,EU-CENTRAL
ORD-000210,CUST-00349,2023-12-30 01:49:00,CANCELLED,EU-CENTRAL
ORD-000211,,2023-06-04 22:55:00,DELIVERED,US-EAST
ORD-000212,CUST-00724,2023-02-21 14:51:00,DELIVERED,US-EAST
ORD-000213,CUST-00999,2023-04-19 19:39:00,DELIVERED,US-EAST
ORD-000214,CUST-00844,2023-02-12 16:06:00,SHIPPED,US-EAST
ORD-000215,CUST-00892,2023-07-30 11:10:00,DELIVERED,APAC-EAST
ORD-000216,CUST-00781,2024-06-02 15:46:00,CANCELLED,US-WEST
ORD-000217,CUST-00663,2024-01-08 10:52:00,PLACED,US-WEST
ORD-000218,CUST-00450,2024-03-01 00:15:00,DELIVERED,APAC-EAST
ORD-000219,CUST-00350,2023-10-21 16:10:00,PLACED,EU-CENTRAL
ORD-000220,CUST-00733,2024-02-29 11:40:00,DELIVERED,US-WEST
ORD-000221,CUST-00772,2024-06-26 13:50:00,SHIPPED,APAC-EAST
ORD-000222,CUST-00424,2024-02-24 14:54:00,DELIVERED,EU-CENTRAL
ORD-000223,CUST-00967,2023-01-31 14:09:00,DELIVERED,LATAM-SOUTH
ORD-000224,CUST-00967,2023-03-13 02:21:00,DELIVERED,US-WEST
ORD-000225,CUST-00445,2023-03-04 12:48:00,PLACED,US-WEST
ORD-000226,CUST-00925,01-03-2023,DELIVERED,LATAM-SOUTH
ORD-000227,CUST-00997,2023-10-30 13:25:00,CANCELLED,LATAM-SOUTH
ORD-000228,CUST-00895,08-11-2023,DELIVERED,EU-CENTRAL
ORD-000229,CUST-00009,2023-10-14 16:39:00,CANCELLED,APAC-EAST
ORD-000230,CUST-00457,2023-07-30 17:39:00,DELIVERED,APAC-EAST
ORD-000231,CUST-00715,2023-12-20 20:25:00,DELIVERED,EU-CENTRAL
ORD-000232,CUST-00087,2023-02-07 17:21:00,DELIVERED,US-WEST
ORD-000233,CUST-00533,2023-10-18 06:05:00,DELIVERED,EU-CENTRAL
ORD-000234,CUST-00534,2023-12-15 20:10:00,PLACED,LATAM-SOUTH
ORD-000235,CUST-00607,2023-09-22 07:53:00,DELIVERED,APAC-EAST
ORD-000236,CUST-00518,2023-04-24 23:03:00,DELIVERED,EU-CENTRAL
ORD-000237,CUST-00643,2024-06-03 11:07:00,PLACED,US-EAST
ORD-000238,CUST-00460,2023-11-02 18:47:00,PLACED,EU-CENTRAL
ORD-000239,CUST-00242,2024-06-30 19:14:00,DELIVERED,EU-CENTRAL
ORD-000240,CUST-00683,2023-05-24 22:24:00,DELIVERED,US-WEST
ORD-000241,CUST-00108,2023-12-02 16:37:00,SHIPPED,EU-CENTRAL
ORD-000242,CUST-00466,2023-04-11 04:45:00,DELIVERED,APAC-EAST
ORD-000243,CUST-00084,2023-04-05 01:27:00,CANCELLED,APAC-EAST
ORD-000244,CUST-00220,2024-04-01 02:23:00,DELIVERED,APAC-EAST
ORD-000245,CUST-00603,2024-06-15 12:55:00,SHIPPED,APAC-EAST
ORD-000246,CUST-00652,2024-03-09 14:44:00,RETURNED,APAC-EAST
ORD-000247,CUST-00750,2024-03-02 05:09:00,DELIVERED,APAC-EAST
ORD-000248,CUST-00729,2024-04-13 04:45:00,DELIVERED,LATAM-SOUTH
ORD-000249,CUST-00121,2023-08-06 14:30:00,PLACED,US-WEST
ORD-000250,CUST-00967,2024-01-14 03:38:00,CANCELLED,US-EAST
ORD-000251,CUST-00124,2024-01-14 18:18:00,PLACED,US-WEST
